,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
7082,7082,Does overhead irrigation or drip irrigation use less water?,constant flow,mist irrigation,stream irrigation,drip irrigation,Irrigation is the single biggest use of water. Overhead irrigation wastes a lot of water. Drip irrigation wastes a lot less. Figure below shows a drip irrigation system. Water pipes run over the surface of the ground. Tiny holes in the pipes are placed close to each plant. Water slowly drips out of the holes and soaks into the soil around the plants. Very little of the water evaporates or runs off the ground.,D,D,A,C,D,D
7101,7101,Zinc is what kind of metal.?,passive stagnant metal,active flow metal,active move metal,active transition metal,"Figure 18.7 Zinc is an active transition metal. It dissolves in hydrochloric acid, forming a solution of colorless Zn 2+ ions, Cl– ions, and hydrogen gas.",C,D,C,A,A,A
7109,7109,What shape is the lens of the eye?,concave,spherical,angular,convex,The lens of the eye is a convex lens. It fine-tunes the focus so an image forms on the retina at the back of the eye. Tiny muscles control the shape of the lens to focus images of close or distant objects.,C,D,C,C,C,A
7119,7119,"Each month, starting in puberty, one egg matures and is released from where?",uterus,pollen,testes,ovary,"Each month, starting in puberty, one egg matures and is released from the ovary.",D,A,D,A,A,A
7120,7120,Synostoses unite the sacral vertebrae that fuse together to form the what?,permanent sacrum,young sacrum,lower sacrum,adult sacrum,"synostoses and fusing the bony components together into the single hip bone of the adult. Similarly, synostoses unite the sacral vertebrae that fuse together to form the adult sacrum.",D,D,C,D,D,D
7121,7121,What eliminates food wastes that remain after digestion takes place?,small intestine,liver,gall bladder,large intestine,The large intestine eliminates food wastes that remain after digestion takes place.,A,D,A,D,D,A
7128,7128,"When gametes unite during fertilization, the resulting zygote inherits two of what for each gene, one from each parent?",molecules,chromosomes,genomes,alleles,"When gametes unite during fertilization, the resulting zygote inherits two alleles for each gene. One allele comes from each parent. The alleles an individual inherits make up the individual’s genotype . The two alleles may be the same or different. As shown in Table below , an organism with two alleles of the same type ( BB or bb ) is called a homozygote . An organism with two different alleles ( Bb ) is called a heterozygote . This results in three possible genotypes.",C,D,B,D,B,D
7149,7149,"When animals use incubation, how do they generally give birth to their young?",division,copying,live,eggs,"In most species, one or both parents take care of the eggs. They sit on the eggs to keep them warm until they hatch. This is called incubation. After the eggs hatch, the parents generally continue their care. They feed the hatchlings until they are big enough to feed on their own. This is usually at a younger age in ground-nesting birds such as ducks than in tree-nesting birds such as robins.",D,D,A,A,D,A
7156,7156,What is the lightest molecule?,silicon,oxygen,helium,hydrogen,"Based on their molar masses, hydrogen is the lightest molecule, and oxygen is the heaviest. Because all three volumes are the same, each balloon contains the same number of gas molecules. Therefore, the hydrogen balloon will have the lowest mass, and the oxygen balloon will have the highest.",D,D,C,A,C,D
7167,7167,Amylase and pepsin are examples of enzymes needed for what process?,filtration,fermentation,absorption,digestion,More than 1000 different enzymes are necessary for human life. Many enzymes are needed for the digestion of food. Two examples are amylase and pepsin. Both are described in the Figure below .,D,D,C,A,A,D
7192,7192,Comparisons of amino acid sequences can shed light on the evolutionary divergence of what?,birds,mammals,dinosaurs,related species,,D,D,C,D,D,D
7193,7193,How high or low a sound seems is associated with what property of the sound?,wavelength,decibel,frequency,pitch,"How high or low a sound seems to a listener is its pitch. Pitch, in turn, depends on the frequency of sound waves.",B,D,B,B,B,D
7197,7197,The combustion of propane gas produces carbon dioxide and what else?,phosphorous,methane,carbon monoxide,water vapor,The combustion of propane gas produces carbon dioxide and water vapor.,D,D,C,D,D,D
7201,7201,Lampreys use their sucker to feed on what part of other fish species?,liver,heart,brain,blood,"Viruses are classified on the basis of several traits. For example, they may be classified by capsid shape, presence or absence of an envelope, and type of nucleic acid. Most systems of classifying viruses identify at least 20 virus families. Table below shows four examples of virus families and their traits. Have any of these viruses made you sick?.",D,A,D,D,D,D
